Date,Region,Policy,score
2020-03-16,Texas,C1E_School closing,2.0
2020-03-20,Texas,C1E_School closing,3.0
2020-04-02,Texas,C1E_School closing,3.0
2020-05-01,Texas,C1E_School closing,3.0
2020-06-03,Texas,C1E_School closing,3.0
2020-07-06,Texas,C1E_School closing,3.0
2020-07-23,Texas,C1E_School closing,3.0
2020-08-03,Texas,C1E_School closing,3.0
2020-08-20,Texas,C1E_School closing,3.0
2020-08-21,Texas,C1E_School closing,3.0
2020-08-26,Texas,C1E_School closing,2.0
2020-09-01,Texas,C1E_School closing,2.0
2020-09-20,Texas,C1E_School closing,2.0
2020-09-21,Texas,C1E_School closing,2.0
2020-09-24,Texas,C1E_School closing,2.0
2020-10-14,Texas,C1E_School closing,1.0
2020-10-29,Texas,C1E_School closing,1.0
2020-11-08,Texas,C1E_School closing,2.0
2020-11-12,Texas,C1E_School closing,2.0
2020-11-19,Texas,C1E_School closing,2.0
2020-12-17,Texas,C1E_School closing,2.0
2021-01-11,Texas,C1E_School closing,2.0
2021-01-14,Texas,C1E_School closing,2.0
2021-01-21,Texas,C1E_School closing,2.0
2021-01-22,Texas,C1E_School closing,2.0
2021-01-26,Texas,C1E_School closing,2.0
2021-02-02,Texas,C1E_School closing,2.0
2021-03-02,Texas,C1E_School closing,2.0
2021-03-12,Texas,C1E_School closing,2.0
2021-03-15,Texas,C1E_School closing,2.0
2021-03-21,Texas,C1E_School closing,2.0
2021-03-25,Texas,C1E_School closing,2.0
2021-04-05,Texas,C1E_School closing,2.0
2021-04-19,Texas,C1E_School closing,2.0
2021-04-26,Texas,C1E_School closing,2.0
2021-05-03,Texas,C1E_School closing,2.0
2021-05-10,Texas,C1E_School closing,1.0
2021-05-13,Texas,C1E_School closing,1.0
2021-06-04,Texas,C1E_School closing,1.0
2021-07-20,Texas,C1E_School closing,1.0
2021-07-27,Texas,C1E_School closing,1.0
2021-08-06,Texas,C1E_School closing,1.0
2021-08-11,Texas,C1E_School closing,2.0
2021-08-12,Texas,C1E_School closing,2.0
2021-08-14,Texas,C1E_School closing,2.0
2021-08-18,Texas,C1E_School closing,2.0
2021-08-19,Texas,C1E_School closing,2.0
2021-08-22,Texas,C1E_School closing,2.0
2021-08-23,Texas,C1E_School closing,2.0
2021-08-27,Texas,C1E_School closing,2.0
2021-09-03,Texas,C1E_School closing,2.0
2021-09-07,Texas,C1E_School closing,2.0
2021-09-10,Texas,C1E_School closing,2.0
2021-09-27,Texas,C1E_School closing,2.0
2021-10-04,Texas,C1E_School closing,2.0
2021-10-12,Texas,C1E_School closing,1.0
2021-10-25,Texas,C1E_School closing,1.0
2021-11-01,Texas,C1E_School closing,1.0
2021-11-12,Texas,C1E_School closing,2.0
2021-11-16,Texas,C1E_School closing,2.0
2021-11-30,Texas,C1E_School closing,2.0
2021-12-07,Texas,C1E_School closing,0.0
2021-12-14,Texas,C1E_School closing,0.0
2022-01-04,Texas,C1E_School closing,0.0
2022-01-11,Texas,C1E_School closing,0.0
2022-01-18,Texas,C1E_School closing,0.0
2022-01-24,Texas,C1E_School closing,0.0
2022-01-30,Texas,C1E_School closing,0.0
2022-02-07,Texas,C1E_School closing,0.0
2022-02-13,Texas,C1E_School closing,0.0
2022-02-20,Texas,C1E_School closing,0.0
2022-03-01,Texas,C1E_School closing,0.0
2022-03-09,Texas,C1E_School closing,0.0
2022-03-13,Texas,C1E_School closing,0.0
2022-03-21,Texas,C1E_School closing,0.0
2022-03-28,Texas,C1E_School closing,0.0
2022-04-04,Texas,C1E_School closing,0.0
2022-04-11,Texas,C1E_School closing,0.0
2022-04-17,Texas,C1E_School closing,0.0
2022-04-25,Texas,C1E_School closing,0.0
2022-05-02,Texas,C1E_School closing,0.0
2022-05-09,Texas,C1E_School closing,0.0
2022-05-16,Texas,C1E_School closing,0.0
2022-06-13,Texas,C1E_School closing,0.0
2022-07-19,Texas,C1E_School closing,0.0
2022-07-23,Texas,C1E_School closing,0.0
2022-08-31,Texas,C1E_School closing,0.0
2022-10-20,Texas,C1E_School closing,0.0
